device_id,industry,device_type,connectivity_type,sim_type,country,city,site_name,latitude,longitude
BICS-AGR-00021,Agriculture,Greenhouse Climate Sensor,LTE-M,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.823298,3.279327
BICS-AGR-00022,Agriculture,GPS Tractor Tracker,5G,eSIM,Belgium,Hasselt,Limburg Orchards,50.952817,5.3387
BICS-AGR-00023,Agriculture,Greenhouse Climate Sensor,5G,iSIM,Belgium,Bruges,West Flanders Farmlands,51.198418,3.230943
BICS-AGR-00024,Agriculture,Irrigation Controller,NB-IoT,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.673969,5.82646
BICS-AGR-00025,Agriculture,Irrigation Controller,LTE-M,Traditional SIM,Belgium,Hasselt,Limburg Orchards,50.924224,5.345614
BICS-AGR-00026,Agriculture,Livestock Tracker,NB-IoT,eSIM,Belgium,Bruges,West Flanders Farmlands,51.199797,3.244255
BICS-AGR-00027,Agriculture,Greenhouse Climate Sensor,NB-IoT,eSIM,Belgium,Hasselt,Limburg Orchards,50.926716,5.325005
BICS-AGR-00028,Agriculture,Livestock Tracker,NB-IoT,iSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.829753,3.272208
BICS-AGR-00029,Agriculture,Livestock Tracker,NB-IoT,iSIM,Belgium,Arlon,Luxembourg Province Dairy,49.68577,5.831229
BICS-AGR-00030,Agriculture,Livestock Tracker,NB-IoT,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.835016,3.294594
BICS-AGR-00031,Agriculture,Soil Moisture Sensor,NB-IoT,iSIM,Belgium,Hasselt,Limburg Orchards,50.944127,5.346093
BICS-AGR-00032,Agriculture,Weather Station,LTE-M,eSIM,Belgium,Bruges,West Flanders Farmlands,51.213558,3.23745
BICS-AGR-00033,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Hasselt,Limburg Orchards,50.941504,5.331706
BICS-AGR-00034,Agriculture,Soil Moisture Sensor,LTE-M,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.815949,3.284217
BICS-AGR-00035,Agriculture,Greenhouse Climate Sensor,LTE-M,Traditional SIM,Belgium,Hasselt,Limburg Orchards,50.928056,5.338683
BICS-AGR-00036,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Bruges,West Flanders Farmlands,51.1967,3.210114
BICS-AGR-00037,Agriculture,Livestock Tracker,NB-IoT,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.797934,3.282116
BICS-AGR-00038,Agriculture,Livestock Tracker,LTE-M,Traditional SIM,Belgium,Arlon,Luxembourg Province Dairy,49.67558,5.822242
BICS-AGR-00039,Agriculture,Weather Station,NB-IoT,Traditional SIM,Belgium,Bruges,West Flanders Farmlands,51.210162,3.231904
BICS-AGR-00040,Agriculture,Weather Station,LTE-M,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.480641,4.860767
BICS-AGR-00041,Agriculture,Irrigation Controller,4G,Traditional SIM,Belgium,Arlon,Luxembourg Province Dairy,49.706969,5.828993
BICS-AGR-00042,Agriculture,Greenhouse Climate Sensor,LTE-M,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.839761,3.309694
BICS-AGR-00043,Agriculture,Weather Station,NB-IoT,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.897994,4.694167
BICS-AGR-00044,Agriculture,Irrigation Controller,LTE-M,Traditional SIM,Belgium,Hasselt,Limburg Orchards,50.911973,5.373875
BICS-AGR-00045,Agriculture,Soil Moisture Sensor,LTE-M,eSIM,Belgium,Leuven,Brabant Research Farm,50.903081,4.696618
BICS-AGR-00046,Agriculture,Irrigation Controller,NB-IoT,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.82335,3.281866
BICS-AGR-00047,Agriculture,Soil Moisture Sensor,NB-IoT,iSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.809719,3.261396
BICS-AGR-00048,Agriculture,Irrigation Controller,LTE-M,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.691173,5.840664
BICS-AGR-00049,Agriculture,Soil Moisture Sensor,LTE-M,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.819732,3.271292
BICS-AGR-00050,Agriculture,Greenhouse Climate Sensor,4G,eSIM,Belgium,Namur,Wallonia Grain Belt,50.490447,4.88084
BICS-AGR-00051,Agriculture,Soil Moisture Sensor,LTE-M,iSIM,Belgium,Bruges,West Flanders Farmlands,51.216112,3.230279
BICS-AGR-00052,Agriculture,Greenhouse Climate Sensor,4G,eSIM,Belgium,Leuven,Brabant Research Farm,50.87401,4.688601
BICS-AGR-00053,Agriculture,Irrigation Controller,NB-IoT,eSIM,Belgium,Namur,Wallonia Grain Belt,50.453506,4.876359
BICS-AGR-00054,Agriculture,Weather Station,NB-IoT,eSIM,Belgium,Leuven,Brabant Research Farm,50.881279,4.69734
BICS-AGR-00055,Agriculture,GPS Tractor Tracker,NB-IoT,iSIM,Belgium,Bruges,West Flanders Farmlands,51.199841,3.228574
BICS-AGR-00056,Agriculture,Greenhouse Climate Sensor,4G,eSIM,Belgium,Namur,Wallonia Grain Belt,50.489095,4.885321
BICS-AGR-00057,Agriculture,Livestock Tracker,LTE-M,eSIM,Belgium,Bruges,West Flanders Farmlands,51.224517,3.2106
BICS-AGR-00058,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.799046,3.249791
BICS-AGR-00059,Agriculture,Irrigation Controller,LTE-M,Traditional SIM,Belgium,Bruges,West Flanders Farmlands,51.229178,3.217505
BICS-AGR-00060,Agriculture,Weather Station,LTE-M,Traditional SIM,Belgium,Arlon,Luxembourg Province Dairy,49.658621,5.823854
BICS-AGR-00061,Agriculture,Soil Moisture Sensor,NB-IoT,eSIM,Belgium,Leuven,Brabant Research Farm,50.859977,4.70612
BICS-AGR-00062,Agriculture,Irrigation Controller,NB-IoT,eSIM,Belgium,Hasselt,Limburg Orchards,50.921515,5.329716
BICS-AGR-00063,Agriculture,Weather Station,NB-IoT,iSIM,Belgium,Namur,Wallonia Grain Belt,50.477418,4.87654
BICS-AGR-00064,Agriculture,Irrigation Controller,LTE-M,iSIM,Belgium,Leuven,Brabant Research Farm,50.860185,4.681763
BICS-AGR-00065,Agriculture,Livestock Tracker,LTE-M,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.713372,5.836106
BICS-AGR-00066,Agriculture,Soil Moisture Sensor,LTE-M,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.48899,4.886812
BICS-AGR-00067,Agriculture,Weather Station,LTE-M,iSIM,Belgium,Bruges,West Flanders Farmlands,51.204451,3.221653
BICS-AGR-00068,Agriculture,Weather Station,NB-IoT,eSIM,Belgium,Leuven,Brabant Research Farm,50.876344,4.727826
BICS-AGR-00069,Agriculture,Soil Moisture Sensor,LTE-M,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.828044,3.266577
BICS-AGR-00070,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Namur,Wallonia Grain Belt,50.448997,4.875645
BICS-AGR-00071,Agriculture,GPS Tractor Tracker,LTE-M,Traditional SIM,Belgium,Hasselt,Limburg Orchards,50.957408,5.34955
BICS-AGR-00072,Agriculture,Weather Station,LTE-M,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.835415,3.290041
BICS-AGR-00073,Agriculture,Livestock Tracker,NB-IoT,eSIM,Belgium,Namur,Wallonia Grain Belt,50.482508,4.880564
BICS-AGR-00074,Agriculture,GPS Tractor Tracker,LTE-M,Traditional SIM,Belgium,Bruges,West Flanders Farmlands,51.229069,3.218804
BICS-AGR-00075,Agriculture,Irrigation Controller,4G,iSIM,Belgium,Hasselt,Limburg Orchards,50.945185,5.356041
BICS-AGR-00076,Agriculture,Irrigation Controller,4G,Traditional SIM,Belgium,Hasselt,Limburg Orchards,50.918024,5.375618
BICS-AGR-00077,Agriculture,Soil Moisture Sensor,NB-IoT,Traditional SIM,Belgium,Kortrijk,Leie Valley Agriculture,50.850568,3.266999
BICS-AGR-00078,Agriculture,Greenhouse Climate Sensor,LTE-M,iSIM,Belgium,Arlon,Luxembourg Province Dairy,49.673014,5.832726
BICS-AGR-00079,Agriculture,Irrigation Controller,4G,eSIM,Belgium,Namur,Wallonia Grain Belt,50.469115,4.892854
BICS-AGR-00080,Agriculture,GPS Tractor Tracker,LTE-M,iSIM,Belgium,Namur,Wallonia Grain Belt,50.469393,4.865392
BICS-AGR-00081,Agriculture,Weather Station,4G,iSIM,Belgium,Arlon,Luxembourg Province Dairy,49.682334,5.796125
BICS-AGR-00082,Agriculture,Weather Station,LTE-M,eSIM,Belgium,Namur,Wallonia Grain Belt,50.51871,4.874103
BICS-AGR-00083,Agriculture,Weather Station,LTE-M,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.878188,4.712922
BICS-AGR-00084,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Leuven,Brabant Research Farm,50.877702,4.687984
BICS-AGR-00085,Agriculture,GPS Tractor Tracker,4G,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.455466,4.884181
BICS-AGR-00086,Agriculture,GPS Tractor Tracker,4G,eSIM,Belgium,Hasselt,Limburg Orchards,50.945249,5.335901
BICS-AGR-00087,Agriculture,Soil Moisture Sensor,NB-IoT,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.665261,5.838657
BICS-AGR-00088,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Namur,Wallonia Grain Belt,50.484041,4.868741
BICS-AGR-00089,Agriculture,Livestock Tracker,4G,eSIM,Belgium,Leuven,Brabant Research Farm,50.882861,4.715159
BICS-AGR-00090,Agriculture,Irrigation Controller,NB-IoT,Traditional SIM,Belgium,Kortrijk,Leie Valley Agriculture,50.83968,3.271266
BICS-AGR-00091,Agriculture,Irrigation Controller,LTE-M,Traditional SIM,Belgium,Arlon,Luxembourg Province Dairy,49.68272,5.834985
BICS-AGR-00092,Agriculture,Weather Station,NB-IoT,eSIM,Belgium,Leuven,Brabant Research Farm,50.888398,4.695744
BICS-AGR-00093,Agriculture,Greenhouse Climate Sensor,4G,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.873338,4.728017
BICS-AGR-00094,Agriculture,Weather Station,LTE-M,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.683777,5.799506
BICS-AGR-00095,Agriculture,Weather Station,NB-IoT,iSIM,Belgium,Hasselt,Limburg Orchards,50.939493,5.336897
BICS-AGR-00096,Agriculture,Weather Station,LTE-M,Traditional SIM,Belgium,Bruges,West Flanders Farmlands,51.20172,3.201052
BICS-AGR-00097,Agriculture,Soil Moisture Sensor,NB-IoT,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.846392,3.270065
BICS-AGR-00098,Agriculture,Soil Moisture Sensor,4G,eSIM,Belgium,Leuven,Brabant Research Farm,50.875074,4.721485
BICS-AGR-00099,Agriculture,GPS Tractor Tracker,4G,iSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.828997,3.271426
BICS-AGR-00100,Agriculture,Irrigation Controller,NB-IoT,eSIM,Belgium,Namur,Wallonia Grain Belt,50.469368,4.866918
BICS-AGR-00101,Agriculture,GPS Tractor Tracker,LTE-M,eSIM,Belgium,Bruges,West Flanders Farmlands,51.202843,3.216165
BICS-AGR-00102,Agriculture,Livestock Tracker,5G,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.685154,5.831117
BICS-AGR-00103,Agriculture,Weather Station,NB-IoT,Traditional SIM,Belgium,Bruges,West Flanders Farmlands,51.200607,3.184165
BICS-AGR-00104,Agriculture,Irrigation Controller,5G,Traditional SIM,Belgium,Kortrijk,Leie Valley Agriculture,50.825728,3.281031
BICS-AGR-00105,Agriculture,Soil Moisture Sensor,4G,iSIM,Belgium,Arlon,Luxembourg Province Dairy,49.690353,5.805833
BICS-AGR-00106,Agriculture,Soil Moisture Sensor,4G,Traditional SIM,Belgium,Bruges,West Flanders Farmlands,51.202548,3.211522
BICS-AGR-00107,Agriculture,Greenhouse Climate Sensor,LTE-M,eSIM,Belgium,Hasselt,Limburg Orchards,50.95145,5.360355
BICS-AGR-00108,Agriculture,Irrigation Controller,LTE-M,Traditional SIM,Belgium,Arlon,Luxembourg Province Dairy,49.698404,5.849202
BICS-AGR-00109,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.816421,3.269192
BICS-AGR-00110,Agriculture,Irrigation Controller,NB-IoT,Traditional SIM,Belgium,Hasselt,Limburg Orchards,50.927376,5.336949
BICS-AGR-00111,Agriculture,Weather Station,NB-IoT,iSIM,Belgium,Hasselt,Limburg Orchards,50.954059,5.330991
BICS-AGR-00112,Agriculture,Irrigation Controller,LTE-M,iSIM,Belgium,Hasselt,Limburg Orchards,50.910199,5.342741
BICS-AGR-00113,Agriculture,Greenhouse Climate Sensor,NB-IoT,Traditional SIM,Belgium,Arlon,Luxembourg Province Dairy,49.699224,5.81364
BICS-AGR-00114,Agriculture,Irrigation Controller,LTE-M,iSIM,Belgium,Namur,Wallonia Grain Belt,50.467445,4.864427
BICS-AGR-00115,Agriculture,Weather Station,LTE-M,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.691928,5.793423
BICS-AGR-00116,Agriculture,Greenhouse Climate Sensor,LTE-M,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.908494,4.714926
BICS-AGR-00117,Agriculture,Soil Moisture Sensor,5G,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.671251,5.817571
BICS-AGR-00118,Agriculture,GPS Tractor Tracker,4G,iSIM,Belgium,Hasselt,Limburg Orchards,50.923589,5.332964
BICS-AGR-00119,Agriculture,Soil Moisture Sensor,5G,eSIM,Belgium,Hasselt,Limburg Orchards,50.933259,5.338614
BICS-AGR-00120,Agriculture,Irrigation Controller,NB-IoT,eSIM,Belgium,Leuven,Brabant Research Farm,50.871365,4.685301
BICS-AGR-00121,Agriculture,Livestock Tracker,LTE-M,eSIM,Belgium,Leuven,Brabant Research Farm,50.907679,4.690533
BICS-AGR-00122,Agriculture,Weather Station,NB-IoT,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.875629,4.712186
BICS-AGR-00123,Agriculture,Greenhouse Climate Sensor,LTE-M,Traditional SIM,Belgium,Kortrijk,Leie Valley Agriculture,50.845499,3.272986
BICS-AGR-00124,Agriculture,Weather Station,4G,eSIM,Belgium,Hasselt,Limburg Orchards,50.924082,5.34143
BICS-AGR-00125,Agriculture,Soil Moisture Sensor,LTE-M,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.894015,4.710372
BICS-AGR-00126,Agriculture,Irrigation Controller,NB-IoT,iSIM,Belgium,Leuven,Brabant Research Farm,50.913035,4.722993
BICS-AGR-00127,Agriculture,Weather Station,NB-IoT,Traditional SIM,Belgium,Arlon,Luxembourg Province Dairy,49.698196,5.863062
BICS-AGR-00128,Agriculture,GPS Tractor Tracker,4G,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.486028,4.86993
BICS-AGR-00129,Agriculture,Irrigation Controller,LTE-M,eSIM,Belgium,Hasselt,Limburg Orchards,50.904537,5.360847
BICS-AGR-00130,Agriculture,Soil Moisture Sensor,NB-IoT,iSIM,Belgium,Namur,Wallonia Grain Belt,50.471494,4.882317
BICS-AGR-00131,Agriculture,Irrigation Controller,LTE-M,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.657413,5.810064
BICS-AGR-00132,Agriculture,Greenhouse Climate Sensor,LTE-M,iSIM,Belgium,Leuven,Brabant Research Farm,50.848177,4.71042
BICS-AGR-00133,Agriculture,Soil Moisture Sensor,NB-IoT,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.664097,5.834516
BICS-AGR-00134,Agriculture,Soil Moisture Sensor,4G,eSIM,Belgium,Namur,Wallonia Grain Belt,50.45716,4.832234
BICS-AGR-00135,Agriculture,Livestock Tracker,NB-IoT,Traditional SIM,Belgium,Arlon,Luxembourg Province Dairy,49.676831,5.846821
BICS-AGR-00136,Agriculture,Livestock Tracker,LTE-M,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.828538,3.270764
BICS-AGR-00137,Agriculture,Greenhouse Climate Sensor,NB-IoT,Traditional SIM,Belgium,Kortrijk,Leie Valley Agriculture,50.803326,3.281472
BICS-AGR-00138,Agriculture,Greenhouse Climate Sensor,LTE-M,eSIM,Belgium,Hasselt,Limburg Orchards,50.942869,5.343535
BICS-AGR-00139,Agriculture,Weather Station,4G,eSIM,Belgium,Bruges,West Flanders Farmlands,51.224187,3.203398
BICS-AGR-00140,Agriculture,GPS Tractor Tracker,LTE-M,eSIM,Belgium,Namur,Wallonia Grain Belt,50.477298,4.8719
BICS-AGR-00141,Agriculture,Weather Station,5G,iSIM,Belgium,Bruges,West Flanders Farmlands,51.208325,3.198767
BICS-AGR-00142,Agriculture,GPS Tractor Tracker,NB-IoT,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.488396,4.900777
BICS-AGR-00143,Agriculture,Irrigation Controller,NB-IoT,iSIM,Belgium,Leuven,Brabant Research Farm,50.891483,4.715553
BICS-AGR-00144,Agriculture,Livestock Tracker,NB-IoT,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.444706,4.885742
BICS-AGR-00145,Agriculture,Livestock Tracker,4G,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.46491,4.882367
BICS-AGR-00146,Agriculture,GPS Tractor Tracker,4G,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.843521,3.278294
BICS-AGR-00147,Agriculture,Weather Station,LTE-M,iSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.8301,3.268294
BICS-AGR-00148,Agriculture,Weather Station,NB-IoT,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.893975,4.6933
BICS-AGR-00149,Agriculture,GPS Tractor Tracker,NB-IoT,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.871221,4.668629
BICS-AGR-00150,Agriculture,Irrigation Controller,LTE-M,eSIM,Belgium,Hasselt,Limburg Orchards,50.939511,5.340426
BICS-AGR-00151,Agriculture,Livestock Tracker,4G,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.896119,4.696356
BICS-AGR-00152,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.687557,5.800964
BICS-AGR-00153,Agriculture,GPS Tractor Tracker,5G,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.867425,4.726327
BICS-AGR-00154,Agriculture,Soil Moisture Sensor,5G,eSIM,Belgium,Bruges,West Flanders Farmlands,51.205552,3.233746
BICS-AGR-00155,Agriculture,Livestock Tracker,NB-IoT,Traditional SIM,Belgium,Hasselt,Limburg Orchards,50.927626,5.357466
BICS-AGR-00156,Agriculture,Greenhouse Climate Sensor,NB-IoT,iSIM,Belgium,Hasselt,Limburg Orchards,50.922322,5.369764
BICS-AGR-00157,Agriculture,Soil Moisture Sensor,NB-IoT,eSIM,Belgium,Hasselt,Limburg Orchards,50.936434,5.339138
BICS-AGR-00158,Agriculture,Livestock Tracker,NB-IoT,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.660615,5.824215
BICS-AGR-00159,Agriculture,GPS Tractor Tracker,4G,iSIM,Belgium,Leuven,Brabant Research Farm,50.8511,4.708265
BICS-AGR-00160,Agriculture,Livestock Tracker,4G,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.480038,4.888079
BICS-AGR-00161,Agriculture,Weather Station,NB-IoT,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.479647,4.857333
BICS-AGR-00162,Agriculture,GPS Tractor Tracker,NB-IoT,Traditional SIM,Belgium,Kortrijk,Leie Valley Agriculture,50.825562,3.271402
BICS-AGR-00163,Agriculture,Livestock Tracker,4G,eSIM,Belgium,Bruges,West Flanders Farmlands,51.226291,3.230361
BICS-AGR-00164,Agriculture,GPS Tractor Tracker,LTE-M,eSIM,Belgium,Bruges,West Flanders Farmlands,51.196684,3.215809
BICS-AGR-00165,Agriculture,Greenhouse Climate Sensor,LTE-M,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.884079,4.721827
BICS-AGR-00166,Agriculture,GPS Tractor Tracker,LTE-M,iSIM,Belgium,Bruges,West Flanders Farmlands,51.239105,3.241834
BICS-AGR-00167,Agriculture,Soil Moisture Sensor,LTE-M,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.91279,4.696781
BICS-AGR-00168,Agriculture,Greenhouse Climate Sensor,LTE-M,eSIM,Belgium,Leuven,Brabant Research Farm,50.906604,4.700393
BICS-AGR-00169,Agriculture,Greenhouse Climate Sensor,LTE-M,Traditional SIM,Belgium,Bruges,West Flanders Farmlands,51.228956,3.212225
BICS-AGR-00170,Agriculture,GPS Tractor Tracker,4G,Traditional SIM,Belgium,Hasselt,Limburg Orchards,50.92847,5.306919
BICS-AGR-00171,Agriculture,Soil Moisture Sensor,LTE-M,iSIM,Belgium,Bruges,West Flanders Farmlands,51.192487,3.220457
BICS-AGR-00172,Agriculture,Greenhouse Climate Sensor,NB-IoT,iSIM,Belgium,Namur,Wallonia Grain Belt,50.457364,4.872496
BICS-AGR-00173,Agriculture,Soil Moisture Sensor,LTE-M,eSIM,Belgium,Leuven,Brabant Research Farm,50.880851,4.684542
BICS-AGR-00174,Agriculture,Soil Moisture Sensor,5G,Traditional SIM,Belgium,Leuven,Brabant Research Farm,50.91134,4.706553
BICS-AGR-00175,Agriculture,Irrigation Controller,LTE-M,eSIM,Belgium,Bruges,West Flanders Farmlands,51.213863,3.212035
BICS-AGR-00176,Agriculture,Soil Moisture Sensor,LTE-M,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.450878,4.857519
BICS-AGR-00177,Agriculture,Soil Moisture Sensor,LTE-M,eSIM,Belgium,Bruges,West Flanders Farmlands,51.208614,3.195245
BICS-AGR-00178,Agriculture,GPS Tractor Tracker,LTE-M,eSIM,Belgium,Hasselt,Limburg Orchards,50.928809,5.31297
BICS-AGR-00179,Agriculture,GPS Tractor Tracker,LTE-M,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.477625,4.875163
BICS-AGR-00180,Agriculture,Irrigation Controller,NB-IoT,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.684794,5.837184
BICS-HEA-00001,Healthcare,Patient Monitor,5G,eSIM,Belgium,Ghent,UZ Ghent,51.039085,3.718579
BICS-HEA-00002,Healthcare,Patient Monitor,NB-IoT,Traditional SIM,Belgium,Antwerp,UZA Antwerp,51.218821,4.422685
BICS-HEA-00003,Healthcare,Environmental Monitor,5G,eSIM,Belgium,Ghent,UZ Ghent,51.065063,3.751847
BICS-HEA-00004,Healthcare,Infusion Pump Monitor,NB-IoT,Traditional SIM,Belgium,Brussels,Saint-Luc University Hospital,50.842429,4.414698
BICS-HEA-00005,Healthcare,Cold Chain Sensor,4G,eSIM,Belgium,Antwerp,UZA Antwerp,51.217531,4.411589
BICS-HEA-00006,Healthcare,Infusion Pump Monitor,4G,eSIM,Belgium,Liege,CHU de Liege,50.646191,5.58406
BICS-HEA-00007,Healthcare,Cold Chain Sensor,5G,Traditional SIM,Belgium,Leuven,UZ Leuven,50.876387,4.671916
BICS-HEA-00008,Healthcare,Infusion Pump Monitor,4G,Traditional SIM,Belgium,Ghent,UZ Ghent,51.036446,3.734158
BICS-HEA-00009,Healthcare,Asset Tracking Tag,LTE-M,eSIM,Belgium,Antwerp,UZA Antwerp,51.22762,4.407657
BICS-HEA-00010,Healthcare,Infusion Pump Monitor,4G,eSIM,Belgium,Brussels,UZ Brussel Hospital,50.860981,4.353377
BICS-HEA-00011,Healthcare,Infusion Pump Monitor,LTE-M,Traditional SIM,Belgium,Brussels,UZ Brussel Hospital,50.866979,4.336159
BICS-HEA-00012,Healthcare,Environmental Monitor,NB-IoT,iSIM,Belgium,Ghent,UZ Ghent,51.063675,3.728579
BICS-HEA-00013,Healthcare,Environmental Monitor,LTE-M,iSIM,Belgium,Brussels,UZ Brussel Hospital,50.849469,4.350538
BICS-HEA-00014,Healthcare,Asset Tracking Tag,LTE-M,Traditional SIM,Belgium,Antwerp,UZA Antwerp,51.215956,4.419279
BICS-HEA-00015,Healthcare,Patient Monitor,5G,eSIM,Belgium,Antwerp,UZA Antwerp,51.22656,4.423739
BICS-HEA-00016,Healthcare,Environmental Monitor,4G,Traditional SIM,Belgium,Brussels,UZ Brussel Hospital,50.834743,4.317087
BICS-HEA-00017,Healthcare,Cold Chain Sensor,LTE-M,eSIM,Belgium,Brussels,Saint-Luc University Hospital,50.85432,4.369804
BICS-HEA-00018,Healthcare,Patient Monitor,4G,iSIM,Belgium,Liege,CHU de Liege,50.632091,5.577464
